id,content
1,Neu e khong biet gi ve may tinh co thi duoc khong?
2,Em khong gioi tieng anh va su dung may tinh cung khong tot lam thi co hop khong a?
3,Co yeu cau kien thuc nen tang ve may tinh truoc khong.
4,Nganh nay con gai hoc on khong a?
5,Co can phai co may tinh moi co the hoc duoc cac nganh KHMT?
6,Lieu cac em hoc sinh nu co kho khan gi khi theo hoc cac nganh ky thuat thuoc khoa CNTT&TT khong ?
7,Khoa hoc may tinh la gi?
8,moi truong than thien khong
9,chuan dau ra co duoc dam bao khong
10,ti le ra truong la bao nhieu
11,ti le tot nghiep ra truong la bao nhieu
12,co yeu cau ky nang giao tiep khong
13,chuong trinh hoc co kho khong
14,chuan dau ra co duoc dam bao khong
15,chuong trinh dao tao co qua kho khong
16,Khi hoc nganh may tinh em can nhung ki nang gi
17,Neu mua rieng mot cai may tinh thi khoang bao nhieu
18,Nganh nay co hoc cao dang khong
19,Khi hoc nganh do co duoc uu tien gi khong
20,Nganh IT sau nay co bi lac hau khong
21,Nganh nay co kho hoc khong
22,Co co hoi di tham quan may cong ty hay nhieu cho khac tiep xuc voi nhieu cai cong nghe moi khong
23,Co duoc luyen lai tu dau de lay can ban khong hay hoc toi toi luon
24,nganh ton thoi gian hoc dung khong
25,Nganh khoa hoc may tinh doi hoi to chat gi
26,Co phu hop o moi truong nong thon khong
27,Co kho khong de hoc duoc nganh
28,Cuong do lam viec khi lam cong viec nay
29,Nganh nay co he thong cap bac khong
30,Neu co thi dieu kien thang tien la gi
31,Nganh nay co luong huu khong
32,Neu co thi khoang bao nhieu va dieu kien de duoc tra luong khi ve huu
33,Ma nganh nay co buoc nghi huu khong hay van co the tiep tuc cong viec du da gia
34,Suc canh tranh cua nganh nay
35,Dong gop cho xa hoi
36,Co hoi thang tien trong nganh
37,moi truong hoc tap co kho khan khong
38,nhung kho khan thuong gap trong qua trinh hoc tap
39,nhung thuan loi cua sinh vien nganh may tinh khi tim viec
40,nganh nay co uu diem gi so voi nhung nganh khac (so sanh)
41,Giua nganh CNTT va khoa hoc may tinh thi nganh nao co ti le viec lam cao hon a?
42,"Sau khi tot nghiep, sinh vien nganh CNTT co? duoc gioi thieu viec la?m kho?ng?"
43,Thua thay nganh CNTT co hoi duoc lam viec voi cac doanh nghiep nuoc ngoai cao khong a?/ Da cho em hoi nganh CNTT sau nay co co hoi lam viec cho cong ty nuoc ngoai khong a?
44,Da cho em hoi phuong thuc xet tuyen thac si nganh CNTT duoc khong a?
45,ti le ra truong la bao nhieu?
46,dieu kien hoc len thac si va tien si nganh CNTT nhu the nao a
47,diem chuan la bao nhieu
48,nganh ra truong lam viec gi
49,nganh ung dung duoc nhung linh vuc nao
50,ra truong lam viec luong bao nhieu
51,hoc xong truong co gioi thieu viec lam khong
52,neu hoc xong muong xin hoc bong lam ntn
53,neu hoc xong muong xin hoc bong du hoc lam ntn
54,xep hang cua nganh so voi cac nganh khac
55,da co nhung ung dung ky thuat nao noi troi
56,ti le co viec lam dung nganh nghe sau khi ra truong la bn
57,ti le choi
58,diem san
59,moi truong than thien khong
60,diem chuan la bn
61,hoc phi
62,ti le ra truong la bao nhieu
63,ra truong co the lam gi
64,ti le tot nghiep ra truong la bn
65,sau khi tot nghiep co giu lai truong lam viec khong
66,vi tri truong o dau
67,o ktx co can dk gi ko
68,ho so can nhung gi
69,1 nam co bn hk
70,co nghi he ko
71,co giam hoc phi nhung truong hop nao
72,hoc xong co the co nhung ky nang nao
73,Nganh do sao nay ra truong lam gi?
74,Neu nam nay xet hoc ba co the la bao nhieu diem
75,Muc do hot cua nganh do hien nay?
76,Muc luong ra truong sao voi cac nganh khac?
77,Nganh do dao tao ve nhung ki nang gi?
78,Neu e k biet gi ve may tinh co thi dc k?
79,Kha nang tinh toan va trinh do Tieng Anh cua e k dc tot thi thi co on k
80,Ki nang giao tiep
81,nganh nay tam bao nhieu diem
82,chuong trinh hoc co kho khong
83,em khong gioi tieng anh va su dung may tinh cung khong tot lam thi co hop khong a
84,nganh nay con gia hoc on khong a
85,nganh nay co hoi viec lam sau khi ra truong on khong a
86,sau khi ra truong co the lam nhung viec gi a
87,co bao nhieu phuong thuc xet tuyen
88,diem chuan cua nganh la bao nhieu
89,chuong trinh dao tao bao nhieu nam
90,nganh dao tao nhung gi
91,nhung vi tri viec lam khi ra truong
92,chi phi hoc la bao nhieu
93,chuan dau ra co duoc dam nao khong
94,chuong trinh dao tao co qua kho khong
95,bao nhieu diem de dau vao nganh nay o truong
96,khi hoc thi se duoc hoc nhung gi
97,ra truong se lam nhung gi
98,ty le thap nghiep cua nganh co cao hay khong
99,tien luong nganh nay co ok khong
100,ty le canh tranh vao truong cao hay thap
101,diem dau vao nam truoc la bao nhieu
102,chi tieu nam truoc la bao nhieu
103,co hoi viec lam hay khong
104,xin viec lam duoc vao nhung noi nao
105,muc thu nhap bao nhieu
106,can thi nhung khoi nao
